Business ID,Customer Views,Beer Selection,Group Experience,Ambience,Burger
CQgCsfUUZduNz0fNyeAsyA,0.3938628640025854,0.2337729278951883,0.1835336275398731,0.1715071783401072,0.0115697989240288
W_vlLO_fS_MuLTvxt1B7AA,0.1956007531326678,0.5621504623580862,0.0375737948688092,0.1936914169540008,0.0026165062423657
87lcGuiskjrqBlMwVY0zrg,0.2954216075058167,0.3962434670672967,0.1482833882507223,0.1359745573539,0.0137759628347479
E_w9t1HQtcizm9didoC4yQ,0.0071885217136392,0.4604185670614242,0.0879943252851565,0.3427363187074661,0.0932725253514945
dUrtFfHBz15Q4GiyDFAqUw,0.0627961636658896,0.188824127583454,0.1345390048119481,0.4222504200965718,0.1834819300997036
B89LbTiRc7FPoTwOt7DOiw,0.2520077352722485,0.4792160851260026,0.0980861857533454,0.1583554210762182,0.0074299679448207
ZBaetx-wjXvQVzfB_OnASQ,0.2770589416225751,0.2413479950692918,0.0409292829119496,0.043584848443667,0.3927715089586046
vUrTGX_7HxqeoQ_6QCVz6g,0.1446492442226901,0.0824500100563184,0.2256001482670201,0.2601239473954191,0.2809373140753655
cDekcTE1qwpz8ROlYixhqg,0.1600157310022041,0.611480001360178,0.0758751580142416,0.1336455451964866,0.011577613215195
ELY0HI8GDEx0jkmREVna0A,0.1441645843505205,0.2144441821576204,0.0738590811188903,0.4880726917582756,0.0724361258691709
WCOOi_rQ61MoQ6karcvpBw,0.0530102228745818,0.488267719745636,0.0298984665423631,0.37299385368824,0.0456979280337691
rCjSWBrL9DWMZ_ETu5AElg,0.1383555624634027,0.5680251745507121,0.0531640975386835,0.2204286539927125,0.0124550795881077
CL1kpAsyhhb19w0aWDOLuw,0.1766585717194302,0.233067269761895,0.1662759127225293,0.34339953118632,0.0725253982209535
wcmatdiNPFeo6HKNNF97Ww,0.1191325009800493,0.4679628937039524,0.1045221012085676,0.2602426488883793,0.0403924979502335
KrKQChZ1hwHHVaUK9Zc-Ag,0.1962872433661292,0.1141198434227381,0.2492665510978101,0.2181057867941906,0.2148900230566645
0R2yKDNMUztQwgo8pG4z-Q,0.1849359912194015,0.3149589514701602,0.125444096951697,0.2201990241908243,0.1487912217194972
