,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,hours,Median_Income,mean_age,total_open_hours,HappyHour,OutdoorSeating,RestaurantsPriceRange2,BikeParking,HasTV,DogsAllowed,full_bar,beer_wine,standardized_Median_Income,standardized_review_count
0,BfQ4W2cNB2ZSd7yaAhE_BA,PHS Pop Up Garden,1438 South St,Philadelphia,PA,19146,39.943584,-75.1669,4.5,186,0,"Parks, Active Life, Beer Gardens, Mexican, Local Flavor, Restaurants, Nightlife, Bars, Beer, Wine & Spirits, Food","{'Monday': '17:0-22:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '12:0-0:0', 'Saturday': '12:0-0:0', 'Sunday': '12:0-22:0'}",300000.0,42,54.0,True,True,2,True,False,False,True,True,1.536131071592413,0.18220902451186644
1,amqruwbDGCcyu55p2pTjMA,Flying Fish Crafthouse,1363 N 31st St,Philadelphia,PA,19121,39.9775836,-75.1853081,3.0,129,0,"Food, Breweries, Restaurants, Bars, Beer Bar, American (Traditional), Nightlife","{'Wednesday': '16:0-0:0', 'Thursday': '16:0-0:0', 'Friday': '12:0-2:0', 'Saturday': '16:0-2:0', 'Sunday': '20:0-2:0'}",300000.0,37,46.0,True,True,2,True,True,False,True,True,1.536131071592413,-0.07946682323760164
2,mLDc_u44EiqJCSR3L4nQZw,Attic Brewing Company,137 Berkley St,Philadelphia,PA,19144,40.0229869,-75.1616977,4.5,27,1,"Food, Nightlife, Brewpubs, Bars, Beer Bar, Breweries","{'Monday': '16:0-21:0', 'Tuesday': '16:0-21:0', 'Wednesday': '16:0-22:0', 'Thursday': '16:0-22:0', 'Friday': '15:0-23:0', 'Saturday': '13:0-23:0', 'Sunday': '13:0-21:0'}",300000.0,41,48.0,False,True,2,False,False,False,False,True,1.536131071592413,-0.5477288665787551
3,ltaDKBb6_PMAOAXthRFKLA,Alma Mater,7165 Germantown Ave,Philadelphia,PA,19119,40.060177,-75.190676,2.0,26,0,"Restaurants, American (Traditional), American (New), Sports Bars, Nightlife, Beer Gardens, Bars","{'Monday': '7:0-2:0', 'Tuesday': '7:0-2:0', 'Wednesday': '7:0-2:0', 'Thursday': '7:0-2:0', 'Friday': '7:0-2:0', 'Saturday': '7:0-2:0', 'Sunday': '7:0-2:0'}",300000.0,41,133.0,True,True,2,True,True,True,True,True,1.536131071592413,-0.5523196709252369
4,xEaNFfbt5V3evb7H2XFX-A,Brewery ARS,1927 W Passyunk Ave,Philadelphia,PA,19145,39.9239563124,-75.1788754016,4.5,53,1,"Breweries, Beer, Wine & Spirits, Food","{'Wednesday': '16:0-20:0', 'Thursday': '16:0-20:0', 'Friday': '16:0-20:0', 'Saturday': '14:0-19:0', 'Sunday': '14:0-19:0'}",300000.0,42,22.0,False,False,1,True,False,True,False,True,1.536131071592413,-0.4283679535702257
5,ulfMNXHzGVleRf2U5KwiQQ,Earth Bread + Brewery,7136 Germantown Ave,Philadelphia,PA,19119,40.059176,-75.1904467,4.0,380,1,"Pizza, Food, Breweries, American (New), Restaurants","{'Tuesday': '16:30-20:30', 'Wednesday': '16:30-20:30', 'Thursday': '16:30-20:30', 'Friday': '16:30-21:30', 'Saturday': '16:30-20:30'}",300000.0,41,21.0,True,False,2,True,False,False,True,True,1.536131071592413,1.0728250677293543
6,99e7bysta1myyrQogFEWUQ,Dock Street Brewery,701 S 50th St,Philadelphia,PA,19143,39.9477306374,-75.2227761947,4.0,549,1,"Beer, Wine & Spirits, Restaurants, Breweries, Pizza, Local Flavor, American (New), Vegetarian, Food, Brewpubs","{'Monday': '0:0-0:0', 'Tuesday': '16:0-22:0', 'Wednesday': '16:0-22:0', 'Thursday': '14:0-20:0', 'Friday': '15:0-23:0', 'Saturday': '12:0-23:0'}",300000.0,39,37.0,True,True,2,True,True,False,False,True,1.536131071592413,1.8486710022847948
7,M5CjW616vAHgxnWNmxAFvw,Point Breeze Pop Up,1622 Point Breeze Ave,Philadelphia,PA,19145,39.9317771,-75.1823498,3.5,10,0,"Pop-up Shops, Beer Gardens, Shopping, Food, Nightlife, Food Trucks, Beer, Wine & Spirits","{'Thursday': '16:0-22:0', 'Friday': '16:0-23:0', 'Saturday': '12:0-23:0', 'Sunday': '12:0-22:0'}",300000.0,42,34.0,False,False,1,True,False,False,False,True,1.536131071592413,-0.6257725404689473
8,K_CS--rB2jpdZ_YmffEInQ,Chestnut Hill Brewing Co - Taproom,8231 Germantown Ave,Philadelphia,PA,19118,40.0741808,-75.2030783,3.5,10,1,"Beer Bar, Nightlife, Food, Restaurants, Salad, Bars, Pizza, Breweries","{'Wednesday': '16:0-21:0', 'Thursday': '16:0-21:0', 'Friday': '11:30-21:0', 'Saturday': '11:30-21:0', 'Sunday': '11:30-20:0'}",300000.0,43,37.5,False,True,2,True,True,False,False,True,1.536131071592413,-0.6257725404689473
9,0dfspevYKsugYiU1UVl94Q,Brewerytown Taproom,1363 N 31st St,Philadelphia,PA,19121,39.9775302,-75.1855542,3.0,12,0,"Brewpubs, Food, Restaurants, American (Traditional), Breweries","{'Wednesday': '16:0-23:0', 'Thursday': '16:0-23:0', 'Friday': '11:0-2:0', 'Saturday': '11:0-2:0', 'Sunday': '11:0-21:0'}",300000.0,37,54.0,False,False,2,False,False,False,False,True,1.536131071592413,-0.6165909317759835
