Business ID,Customer Views,Beer Selection,Group Experience,Ambience,Burger
2-gqxtBtrAfg9gHpKqIkrA,0.07792223978322,0.6849987849593162,0.0804357843473553,0.1073015872389078,0.0427109280833974
YeIQRLKVhPsDV8AJdgd-BQ,0.2278580782300931,0.2841463063546318,0.1425457259719359,0.1849550083121086,0.1548412527056767
mQOSVc6m0hNvJNp2t6mhtA,0.1014345823683672,0.2065356169930762,0.1126933026437958,0.3686391772495376,0.2041187843100892
cAMQGuopIJ8AgyeXciFNcw,0.0540546715440871,0.5525575325436956,0.0974347516976758,0.2707601101014071,0.0171709206054168
kkPK9JSs8KKH9qv2r7fppA,0.071732596324926,0.2130092751361768,0.1060529484371231,0.2695044034203006,0.3325611142102967
Lx7mtvmJbkMT9Q9W2YwyBA,0.2344483006745576,0.2692639412358403,0.1016130343079566,0.1896155402064323,0.1996210291981697
sn9iFhoimISsyLcGxLZ9Sg,0.1275750373024493,0.7647752240300179,0.0820712530985474,0.0160003240453079,0.0030789111042395
wmOhquyTe7Lykox4-UhOog,0.2277573155505316,0.3477340936660766,0.1667145128761019,0.0079908876546791,0.244258876889944
VmkntDoCpazOVmNIlXx0ug,0.1165155964662079,0.4302422066253644,0.0831992210889304,0.2628270911949652,0.1008933599417408
aofPaITAzcOTuN6iW0gyOg,0.1209301092765397,0.1562428505987756,0.1602998596305648,0.2873763493779633,0.2698365450422797
zCaEDKsY7f3J2ZRb3aNhfA,0.0087862335145473,0.918477153778076,0.0598622560501098,0.0,0.0
-mitV3FhrCz3m2wk8ldKDg,0.1325038165514988,0.4371851765400459,0.0973877896704981,0.2199516188413385,0.105739205745199
PlEnI02D0iKpMt6gS7h_HQ,0.2236860428344119,0.2077627485533329,0.1544473078525201,0.0900401914576915,0.3161114983429963
Yw-guSo-TKY3YbRrq0PELQ,0.1337500492176507,0.2424395087024746,0.1400340371739278,0.2441319618166764,0.232685521295111
oJ4ik-4PZe6gexxW-tSmsw,0.1904884066173358,0.1908749985378943,0.1087027495396854,0.2599689081004714,0.2441115863974901
ekYEnQ5xKIGjdWIXwE98zg,0.189359429040672,0.3389821494468026,0.091667076178432,0.1985681484377867,0.1762781324754427
u2FUWB2xMipayzmNmJ2Mhg,0.108629168483468,0.5803823210954876,0.0697746014248737,0.2204283869130091,0.0131298392538873
hOVphvLElFBXKDArFRgUvQ,0.1211030445093118,0.1565822055518339,0.1344763008913628,0.3011764557357284,0.2808822596733625
