,Customer Views,Beer Selection,Group Experience,Ambience,Burger
2-gqxtBtrAfg9gHpKqIkrA,0.07792223978322,0.6849987849593162,0.08043578434735536,0.10730158723890781,0.04271092808339745
YeIQRLKVhPsDV8AJdgd-BQ,0.22785807823009313,0.2841463063546318,0.1425457259719359,0.18495500831210868,0.15484125270567675
mQOSVc6m0hNvJNp2t6mhtA,0.10143458236836725,0.20653561699307627,0.1126933026437958,0.3686391772495376,0.20411878431008923
cAMQGuopIJ8AgyeXciFNcw,0.05405467154408714,0.5525575325436956,0.09743475169767585,0.2707601101014071,0.017170920605416848
CQgCsfUUZduNz0fNyeAsyA,0.3938628640025854,0.23377292789518833,0.18353362753987312,0.1715071783401072,0.011569798924028873
W_vlLO_fS_MuLTvxt1B7AA,0.1956007531326678,0.5621504623580862,0.037573794868809206,0.1936914169540008,0.0026165062423657488
87lcGuiskjrqBlMwVY0zrg,0.2954216075058167,0.3962434670672967,0.14828338825072235,0.13597455735390002,0.013775962834747938
E_w9t1HQtcizm9didoC4yQ,0.007188521713639299,0.46041856706142426,0.08799432528515656,0.3427363187074661,0.09327252535149455
dUrtFfHBz15Q4GiyDFAqUw,0.0627961636658896,0.18882412758345404,0.1345390048119481,0.4222504200965718,0.18348193009970365
kkPK9JSs8KKH9qv2r7fppA,0.07173259632492607,0.21300927513617685,0.10605294843712314,0.26950440342030063,0.33256111421029677
Lx7mtvmJbkMT9Q9W2YwyBA,0.23444830067455769,0.2692639412358403,0.10161303430795669,0.18961554020643234,0.1996210291981697
B89LbTiRc7FPoTwOt7DOiw,0.25200773527224857,0.4792160851260026,0.09808618575334549,0.15835542107621828,0.007429967944820722
ZBaetx-wjXvQVzfB_OnASQ,0.2770589416225751,0.24134799506929186,0.04092928291194969,0.04358484844366709,0.3927715089586046
vUrTGX_7HxqeoQ_6QCVz6g,0.14464924422269018,0.08245001005631845,0.2256001482670201,0.2601239473954191,0.2809373140753655
sn9iFhoimISsyLcGxLZ9Sg,0.12757503730244935,0.7647752240300179,0.08207125309854746,0.016000324045307934,0.0030789111042395234
wmOhquyTe7Lykox4-UhOog,0.22775731555053166,0.34773409366607666,0.1667145128761019,0.007990887654679162,0.24425887688994408
cDekcTE1qwpz8ROlYixhqg,0.16001573100220412,0.611480001360178,0.0758751580142416,0.13364554519648664,0.011577613215195015
VmkntDoCpazOVmNIlXx0ug,0.11651559646620795,0.43024220662536444,0.08319922108893041,0.2628270911949652,0.10089335994174083
ELY0HI8GDEx0jkmREVna0A,0.14416458435052057,0.21444418215762048,0.07385908111889038,0.4880726917582756,0.07243612586917098
WCOOi_rQ61MoQ6karcvpBw,0.05301022287458181,0.488267719745636,0.029898466542363167,0.37299385368824006,0.04569792803376913
rCjSWBrL9DWMZ_ETu5AElg,0.13835556246340275,0.5680251745507121,0.053164097538683563,0.2204286539927125,0.012455079588107765
CL1kpAsyhhb19w0aWDOLuw,0.17665857171943022,0.233067269761895,0.16627591272252937,0.34339953118632005,0.07252539822095355
wcmatdiNPFeo6HKNNF97Ww,0.11913250098004938,0.46796289370395244,0.10452210120856761,0.26024264888837934,0.040392497950233516
KrKQChZ1hwHHVaUK9Zc-Ag,0.19628724336612924,0.11411984342273819,0.2492665510978101,0.21810578679419065,0.21489002305666455
0R2yKDNMUztQwgo8pG4z-Q,0.18493599121940155,0.3149589514701602,0.12544409695169703,0.22019902419082432,0.1487912217194972
Cmfs_i-FtaR6O1C07OEcOg,0.19753970826044678,0.3005309323873371,0.09519746487028896,0.2822135920729488,0.11794017284177244
-2-ih3mE8KPyeKVIzpBfPQ,0.20291946427564003,0.37905388835185605,0.12851613531321554,0.2485161426427242,0.03559893619136086
99e7bysta1myyrQogFEWUQ,0.19713917668272649,0.23620608896771314,0.08784285885393357,0.29288051309044355,0.17970104965473144
aofPaITAzcOTuN6iW0gyOg,0.12093010927653974,0.15624285059877568,0.16029985963056484,0.2873763493779633,0.2698365450422797
bfiO0n663Ej36svzuRuVtA,0.2152550273517869,0.2921906023804891,0.09514868195893639,0.20811563690326043,0.18373343117437366
zCaEDKsY7f3J2ZRb3aNhfA,0.008786233514547348,0.9184771537780761,0.05986225605010986,0.0,0.0
-mitV3FhrCz3m2wk8ldKDg,0.13250381655149882,0.43718517654004596,0.09738778967049815,0.21995161884133854,0.10573920574519903
PlEnI02D0iKpMt6gS7h_HQ,0.22368604283441196,0.20776274855333296,0.15444730785252017,0.09004019145769152,0.3161114983429963
BtcOytu968lkyyO0IICv8w,0.10221268231836483,0.4187009529565874,0.09349485629804663,0.36197508216749147,0.016764802339765215
pog-n68Vw_8tvHPHB51rZQ,0.08461648555461065,0.4397886553893517,0.13364252469793786,0.30894035732864966,0.025238564649333984
5CHjDZYRVAdj3MJ3oc4v4g,0.050485980386535324,0.4096910407145818,0.09643665069921149,0.4325157105922699,0.004361509138511287
u6d3yxe7hns5veswWcSdXA,0.1133261120033472,0.40488749062425866,0.09231540166534656,0.3330474434593736,0.047452332040424955
O823FiPDepbCKYo7w2uGAg,0.2295945100696985,0.05372921993526129,0.22407918940487895,0.2709679910618121,0.2144271676171554
Yw-guSo-TKY3YbRrq0PELQ,0.13375004921765074,0.24243950870247463,0.14003403717392782,0.24413196181667648,0.232685521295111
0n6rbrYy_zlr9N1WnEmr9Q,0.11907423867119683,0.1452471911907196,0.12092000908321804,0.30974064850144917,0.2953086329831017
oJ4ik-4PZe6gexxW-tSmsw,0.19048840661733588,0.1908749985378943,0.1087027495396854,0.25996890810047146,0.24411158639749017
K_CS--rB2jpdZ_YmffEInQ,0.19618874546140433,0.1247341537848115,0.08419607784599066,0.39694167077541354,0.19292615018785
NQSnr4RPUScss607oxOaqw,0.13069423587851914,0.18875487870341087,0.057090924739712424,0.4223339859192737,0.19284716550605135
OAdMiCSG0iamQ1MBhiZQuQ,0.022564493851470097,0.7095475207482066,0.07931112817355565,0.1687601878573852,0.011916476634464093
ekYEnQ5xKIGjdWIXwE98zg,0.18935942904067202,0.33898214944680266,0.09166707617843205,0.19856814843778675,0.17627813247544272
5lZNaU_zyoVA9tX-yKwA2A,0.20345408184563413,0.4770319883382934,0.07727552692898933,0.18210661036017187,0.0534939472015728
AWWAiEideKaYmgSblQTsqg,0.2142249074143668,0.6022692956030369,0.14663213615616164,0.026087357196956873,0.001318482371668021
u2FUWB2xMipayzmNmJ2Mhg,0.10862916848346801,0.5803823210954876,0.06977460142487371,0.2204283869130091,0.013129839253887323
hOVphvLElFBXKDArFRgUvQ,0.12110304450931181,0.15658220555183391,0.1344763008913628,0.3011764557357284,0.2808822596733625
POwyAA0vf4PvWe1L8Oc3Eg,0.09359819251535968,0.5263142708580119,0.08357869418845935,0.22749024532832107,0.06277417932794273
TxblhpgMehO8a3pgIvE0Eg,0.44690526723861695,0.11654672026634216,0.20954960882663726,0.1925240308046341,0.032197815179824826
6IwF2rpoaiR_W6DzOvuceA,0.10657652490772307,0.20104184601670846,0.20654884159851533,0.31628637212830096,0.16325443605175957
LnPMfz6ImyU3Dvmf5QdTNg,0.1765508528887516,0.3719615378372726,0.09730029336753346,0.2800730231794573,0.06825506350114233
VqbS5tyfB0t1VIbjqtudWQ,0.31034653186798095,0.49251146912574767,0.03304827511310578,0.14860960245132446,0.0
ZJGo8ch9AGkl63hdbgeEkA,0.11122022002716275,0.35191507484106455,0.1323425695190535,0.26960768668967133,0.12773225842153324
SYffIaST3GI1FNXk9A_uwg,0.14875347343097617,0.23140326932307098,0.14364463055076507,0.28617433052822633,0.18352404278475087
IcqvNEGpi94KcvpS_wUBRQ,0.18010974442780328,0.16182758158732516,0.15561444571552177,0.3320708535941473,0.16370070489356295
ejrf1eSViGaGlyoxhAqm1Q,0.08518464447309573,0.3855391265824437,0.11737134760866562,0.3860445072253545,0.01905769935498635
